file	genre	word_count	entities	entity_mentions	relations	events
010aaf594ae6ef20eb28e3ee26038375	df	914	41	114	23	4
018fb4e59ac5474167ffc5940d7e55e7	df	740	40	146	16	3
01f69c4c2206e7c3fa3706ccd5b8b350	df	649	22	62	4	2
026bd1c7eae9f14da9480a4b88ba2fb6	df	904	35	109	4	3
02905b7ce3a6b8b0961c6c2310392ef9	df	616	42	103	19	6
04134f2be20afbb868d7a8292f49e277	df	857	14	83	5	2
052fe72e4bb7b33ca69dd0dfd01fc442	df	900	24	88	3	2
0536891daea71ab51ee1123137b67146	df	823	29	138	7	3
0648a08469a3be9eb972f0d213562805	df	717	31	84	8	1
0659c87d9fd3d5efd258ee6de3ba1003	df	270	23	31	4	2
073020eb350fc73f123bfac8ec485ecc	df	957	37	144	4	4
07c9c8ca974b6e9333c38720b0b06896	df	978	38	69	6	4
07ec2b7a71add9d1ae30379134daa6c2	df	989	19	151	3	1
086e26ec92d1cc02f3900e9ac46d6962	df	777	33	124	9	8
087f58983ef5e94e54024bc9f0f009ae	df	946	47	158	18	5
08b0dfe15192c063055ed7db8d24c625	df	577	36	89	5	1
08ebdc5f0ec8588af38ab1684318d99c	df	816	31	67	13	3
09098ae4e956a51b038876197814735e	df	465	44	110	19	2
0929d82f7059353f9593b9558983efba	df	785	29	141	4	6
0a421343005f3241376fa01e1cb3c6fb	df	955	10	168	7	5
0ba982819aaf9f5b94a7cebd48ac6018	df	518	22	105	5	2
0c49bb860962aa0d5b8e3fc277592da0	df	847	21	94	5	2
0cde024ee993679967f7ac397000ad52	df	963	22	135	4	2
0cfdfe102b7a4cb34e1a181c1d36d23d	df	798	22	78	4	2
0e0abbf0da91d9e34750441c08d5d262	df	942	63	139	13	9
0e6c9afe37a18411d275ee225a0f0f9b	df	973	44	124	8	6
0eb03fc279066b84ed49d44b2405469a	df	332	13	19	5	0
0f03cc5a508d630c6c8c8c61396e31a9	df	499	17	57	9	10
0f565d3822dca80336582ffac4adaf78	df	819	44	133	14	5
0fab386f8b6527439481f526c92341c7	df	815	12	77	2	1
0fbcb8f76124b9654076889ce04a045b	df	999	67	143	16	2
0fe5904ced20c20537fe29c1db11cd28	df	268	26	63	9	3
101d0fc4a78dc1b84953ebd399b2fad5	df	902	20	150	6	3
11329f1cdb44019afc8f48b6fdc5376d	df	788	25	85	6	4
11a29a0d63a79b0f5d19ccae1838b125	df	896	40	143	6	1
11c906f2f798abb05f143b206edf77a5	df	533	27	63	11	2
120fe19a9bc68fd85fc4963c166e9345	df	971	13	100	5	4
130a86739522ab7c56232e798d04cbf9	df	781	14	121	5	4
14294db341956a71811c9dd015b04ed7	df	747	29	139	14	1
1473ea2ded50c05b29b4f55f1b83ada3	df	951	32	132	7	1
1557734399e8da2b84a2dd9ddb4eba49	df	528	23	65	13	3
15ba31cca04cc5300361f46319247c40	df	814	50	113	11	1
1656bbad43fee4569b5c5f14110c1342	df	486	23	54	8	2
178e7de35eccad0df800f0c7539cf614	df	523	18	71	1	1
17f22c2b1e5642b41a9aeedb03261d1a	df	611	16	133	11	3
17f98f0c6cda0227e732e6761f396d1f	df	192	15	25	6	3
186ef6837e001cd9b97a132c86705545	df	609	35	106	9	4
18a89cdd00dadc593a88c924111575f1	df	484	28	58	9	7
18e8a277f2659f79291efa0e12e80cb3	df	497	20	56	5	2
19569b08f07d751d6ac4a07633653c50	df	733	13	69	6	2
19e22ef0233f8049576deda50b76ae02	df	987	25	122	6	3
1ae45904ad12b1540dc390e162b61235	df	612	22	74	8	0
1b0f90c029f75d326ea39c0371901ef4	df	768	25	87	8	1
1b268b27094ba9c5feb11192dad940ab	df	966	19	149	11	10
1bf9912633f942d6d1d4e87df33cee40	df	961	16	65	6	1
1d16a571f14fb1032bc19e9314a46deb	df	936	18	192	2	0
1e9dfabe5e068a4142e768c0c5c37b6b	df	536	13	107	7	3
1f288dcbcb562b39031c6a9402ebf6d0	df	978	27	119	6	4
1f60eb9697e240af089b134b69c2042d	df	996	44	131	16	4
204f8f6bdb24c5198175bf1ed483247b	df	872	34	144	16	14
21dbe23f56aaef87fd0980234895b321	df	986	37	133	8	2
2251a78817e67a2adaf0722fd05c7ac0	df	958	29	156	18	3
22696c601df1a7359e9b629c689700ad	df	912	35	136	12	4
22ca1a5aa492b429d274169c54554a7c	df	269	9	38	2	1
23987125927d321ec6f0c30c8f453cb3	df	931	36	150	8	6
24d93564f48ae17904aa82f937db8c21	df	908	30	175	10	6
255bae1c133d1d77ef727c063e435a78	df	951	33	160	17	2
25f868780ac18430a6f10ab4de22ffb8	df	906	32	117	3	2
26175bdbe49b712d7412c273c111e813	df	849	12	120	0	1
26542fb5b83cdb4b98a3fe31e0226b39	df	959	45	164	12	2
2701285c791f423cd2f8fd827df9c2c9	df	988	23	86	2	3
27eb0b9d14d45ede66fe86534e36a2ce	df	980	51	178	14	11
29f64df7feb04dfb16f4667ce199c9f0	df	589	27	91	11	9
2a54459212636289034af844f8634e37	df	335	18	54	3	2
2aaa319d1e1a0600837d013cb84290ea	df	923	25	157	6	4
2ac34d012c8d909d4a29aa3f6be1f23d	df	341	23	67	5	1
2ac3b55a10d5395ded9e8e54c345553b	df	421	46	90	8	0
2b96d1172d37f60aea5ce64a0b410248	df	880	38	113	4	4
2ba8bbf004fe30c0a01f6fcd25f01dcc	df	752	23	92	5	1
2bdb9d86091c6f412ffa767bdc749be9	df	800	26	124	15	6
2bebb50073ceefd0c9ccfdf3e07b3258	df	328	14	37	3	0
2c2e8b3286bd34e30a4cb57cb7e26ce5	df	399	15	31	3	2
2ca0238925d38f345acbf826854ea448	df	711	15	45	2	3
2cf358ab89c732d6b35b65e619d2bc86	df	772	22	98	6	4
2d7d6761aad911a63a235a571fa7862f	df	177	14	26	10	5
2d8d3572658fdb8754fdc84d2b15f302	df	645	22	53	2	1
2ee2377e5d4ae6f5922ea2af11f9d4e1	df	464	16	22	0	3
2f5ee4e363c30678dc3b55caf43bc63d	df	953	41	134	10	10
3059538a2542c71687871b3444f8d921	df	578	31	97	8	4
3065902101e4282b89ed4ac8f64d4a84	df	846	38	102	6	9
30cced37fcceb1800341d18d4f97b670	df	889	35	146	3	7
30eadb19db9f0db62cba7be66862920d	df	640	19	131	7	3
324274e50f2d07757e2d88ff58a0c33b	df	452	40	81	17	2
3322caacf140c92366a639ee004560ce	df	285	23	53	6	1
334de29f692ef2c5460b78fcad5c6c9e	df	903	24	196	20	11
33ed1c9fdee1000e2340ac7f92c77752	df	539	29	89	4	1
342431e61e80263f606c46bb5e399cc7	df	970	31	121	6	2
3446f8cbcf53eaca5692913ced012b11	df	920	38	106	14	6
34d49f3357eaf14c849e9cdfeb893273	df	908	22	89	9	2
34f729e5ac124e9898b2744a6598d50e	df	372	16	62	2	4
35587c6d8aa67724ba23231dd16f7b44	df	955	27	103	3	3
35621bc5e29e511198d6eabe34676975	df	897	48	119	22	5
361e1c2ca3a1e21c618e0e8fab959e30	df	867	35	120	19	2
368df106b2eaa0b4091e099f360a07d6	df	825	32	126	7	1
36b12cef6f7a805e3e74a4f430129028	df	287	10	39	5	3
36d45aff571e3fbe036f309c18d31668	df	609	12	94	8	3
376c304800b734b2a5a2c87b19eddc2a	df	665	26	110	6	0
37d781089c669131c5118415cf470422	df	902	20	124	7	3
389c70a4859f7528cc6e8b84c10766d7	df	612	34	110	24	3
39280a4d31d81837e17469e18a854116	df	511	18	97	15	2
39bfc968c35aaf5992629fb7c6b6002e	df	901	30	99	8	0
39ebaa0bb958e3529b331f4c71025e62	df	656	23	90	2	2
3a0d64b5cb2bc7319e803e344dc695b5	df	969	32	161	3	2
3b34a76a3589417f5db02883b47280a6	df	515	10	103	6	7
3b4d58c0a53671c6ce03f0529bb6089d	df	930	19	142	7	3
3b9b81a3a446c24009c7642da54dbd28	df	601	15	90	8	1
3b9c27eda65c635e109a547930942486	df	966	35	99	12	6
3c9fb643a48360935c1044efca570514	df	388	16	46	7	1
3ddbad6f438c88eec387131477ffe1b9	df	932	13	118	5	4
3dff15d768dbfe27e4d6b81fb63aee95	df	965	52	192	10	4
3e6c7121211de578d7fd831eae801438	df	867	19	92	2	4
3e9bbf75058a3f16585889bb9c64a903	df	542	16	59	4	3
3eb834d9a5d9c9fcad258087b5c2794a	df	615	20	54	6	3
3f0e2f2fb9b773bc178522a6535a9651	df	1000	22	116	10	4
3f115570c2fcc85263ba97e0134fb039	df	268	17	35	5	4
4042cd8643253f65df3a4e8de320a1c9	df	344	28	50	3	3
408dff173c599256711f23238e280c15	df	501	24	57	4	1
40f1f697a457e39c30ad94b7cc712c96	df	481	30	74	4	2
41404718f9c1e94cf58aad1fc90c70a7	df	906	48	116	23	11
416cfc6a5717682cd35d381c5be07734	df	866	52	133	26	6
4175e3da216dcc8710a26359e4ecaaad	df	921	37	90	7	2
428e1e095b4e6e830b47e72f133faf87	df	865	23	70	2	3
43326b9fa7deac9d3f8f9e2a0aa0e5cf	df	959	18	86	2	2
43341a312ffd84a4ad3c3ab0df8bcd7c	df	815	26	120	7	3
44087d95184e9d94f3948f47e9b602af	df	656	28	117	11	3
44169f6a3f5b04e8dbab2a26e572a136	df	891	22	166	15	9
44a65adb7f74e6c99d05eb2721fd0baf	df	887	18	84	5	3
44b011cd504c9ed71beb851324db886a	df	924	20	169	7	18
44fd27d40ae65547c3b584c2ff360cd7	df	732	24	93	13	4
4572d22caf3e1924f894002b724f958b	df	830	16	50	2	2
459bc8b09f4dd2e1fec7c77d26193b01	df	864	19	90	3	3
459f9a2b3eddd436f0232395f129dfd0	df	990	55	178	26	6
45b9b8f7d17ce5f352c16a339e96705f	df	863	18	156	11	8
4622b60202cf3944119daf2be53aa74f	df	711	54	139	24	1
4683e6affe801713ed4cc9d596b57fac	df	968	27	115	6	1
4743a10c1d5f1ad35c31646049acb9db	df	974	35	128	6	2
4764f1400fa336d1fb972719b10b939a	df	833	26	78	6	4
47c26ba3563092e41c5a42252931baf1	df	550	21	80	5	3
48c498c9762046efbece8d183ed996ca	df	558	18	95	9	4
48dafc1e3678fa7b13cb467ab3eed071	df	899	44	109	13	4
4a3d067b19686b281e0beb437573a28c	df	996	41	100	7	4
4bab621aef9d14b5d20ac23cb8142112	df	982	38	127	13	7
4d7e1af80bc46167ef3d81cf642bf94b	df	983	22	107	5	2
4deb48e2b0ab194ce37c1bd31c73586a	df	771	46	116	10	8
4df3dfff1ee1683ac6e1c2ea24ce2589	df	962	14	79	1	3
4e1354ca6e29ab8e90b5827791c3e6ad	df	999	25	106	4	1
4eb58398a5c2ef35b16d885c5573b3d4	df	955	19	123	5	2
4edd239ce7d1f7274154cd05081f8995	df	960	53	158	16	0
4f7eedf44076ea050d7db3715f9333fa	df	325	4	26	0	1
4fbb1eec7dfd5c2fefb94a2d873ddfa5	df	762	22	73	16	2
4fca88a5c29716cbb7c0f9aa9b84007a	df	985	31	104	7	2
502c46cc149d30f9ad0c25194636dcb6	df	797	11	70	1	0
51d64c51a2363954454ee9e921b590ce	df	984	40	135	11	7
52355a4167e6ac3a80d19c94ad6259a7	df	971	32	81	4	3
5254f96ac3a601e99b6357c4f7627991	df	977	27	197	16	2
52a77871923a7f86bb1a52812bc7f2e1	df	911	15	97	3	2
52b539f29e265ef61bf418d594e3777e	df	983	37	124	8	15
52e569e00b6428b94205d3dd5c457c54	df	989	34	196	15	3
563b1e8fcb1de7a4c0e01da9100d6e09	df	535	11	52	2	1
5685a6069312d52a897fe69973269338	df	966	18	114	8	3
56af144a4d1d2e662531bdfd00d3c725	df	783	18	118	4	1
57026b7bcb8f855de3e26d572db35285	df	729	31	149	19	11
57b2773ab54bbc5c119a46fd9be2c4f0	df	649	52	102	12	2
584b6272bb8c9cc134621ff5ace8c98d	df	995	24	70	2	1
590baa25bb1cc16c31fd02395edf6835	df	706	22	69	4	4
593cb5020613a4695859130542f7fc94	df	485	9	69	4	5
59f8514f6db132207ba9e5828f73d706	df	993	41	182	9	3
5b7cab1d1cfc0c05686399d8bcbcfe5b	df	904	18	139	14	4
5bac42475431a87070720e94b27cfd99	df	995	27	124	5	2
5bb3c2b1094912a6df7e862bb2981481	df	724	30	103	6	1
5bbe1c6185296d179b95810e48ee3834	df	325	24	47	8	8
5bfd613fd31f0c2bdfb5c41f21629144	df	788	36	122	13	3
5c29f9e575b94c61db8ed52bdfa53843	df	965	37	148	6	3
5cd7d603e1cf8d2c134d039dc90112f0	df	845	35	99	6	2
5d7b429073c60d53acba21bb6e7e6caa	df	412	28	69	9	0
5dfd5bfee062cd5896b619a2b1309766	df	976	36	134	18	3
5f3a6a4c39c15d7382c2cafe64ae898d	df	988	50	123	13	4
5fa0f2a7f323a781640b126978ca8a42	df	854	27	107	2	3
5fa7fbe87758a02a1e4591f88175ccf3	df	938	34	129	7	5
609d5112c0386dc4e5f2e90b93cb7a5f	df	525	8	53	0	4
6154640fdb94510274583591cad7b379	df	925	42	146	14	4
61d2b0dcc730f0b4e92ae0d1929b3caf	df	780	29	93	9	2
6291811a3fe70d3ec8fc26b91060e2f5	df	546	30	90	3	3
63878a2b6d34b576361d2a2778f321a6	df	957	23	54	0	2
63dca285201d1fcda72a54f4302b2c3e	df	622	23	91	7	2
644706e2d97c9a9a1f9874510180f136	df	954	31	74	7	23
648fc5834f73b4196b4ceb3daad954f9	df	773	32	98	9	2
6491f0650d9628b84dee6f539df5a53d	df	274	14	44	7	3
649d691754caf9ab4aa184680d7de862	df	973	27	160	8	2
6521f6bd1eb405232a5e852423722bac	df	121	4	16	0	0
65814a1b2cccd0fd9be5ee3d5068038d	df	878	30	137	14	5
66042e52f30582445fad15569f3f00d8	df	384	18	61	2	2
661ece467567ffbb54b551dfc1c2c254	df	110	12	22	2	0
66fba4f92d2f9d8c3bee5dfad3af9828	df	970	24	138	4	1
670b5425fcd1700e2c27af5f09244cb1	df	609	31	95	2	4
68400c2f87ab843a42daff4f4b6bbb69	df	765	22	105	5	2
68c5fd1d9f2250535f69de1b78259738	df	928	39	158	13	3
693a6f13a483fa471c402f8627e128fd	df	894	38	100	9	2
694221198c0600df906d2129f6ec578d	df	860	26	158	17	1
699bc2721d93857946803525b1902b9c	df	963	35	118	5	2
6a97832f01044e9951c3169aa3240a4a	df	622	16	77	4	1
6aef233fe16a579899ce8589d5cc586a	df	908	28	156	10	7
6bd6f099dceffb0ed7725b0f6e05535c	df	820	25	90	3	1
6f9d5ab935a6fe20fd1e0b926ba309d1	df	534	24	84	2	5
705f7ae677ec62ada81eded90f90423c	df	487	20	82	10	4
71beef797a77fb8ee951179cc4be4af4	df	636	18	93	3	5
71d57e64b6f0f1d6aad55d0fa1d90dcc	df	344	16	29	3	5
72f595e92241c03ea556c206d2265d35	df	661	22	47	4	2
72ffc3c5c659e51e15d015b6e76891f5	df	825	19	93	1	1
7318eea4afaf8ef3031fbde838cae6b7	df	991	33	198	5	1
731fd2f2a515f766cc607798b52fece7	df	942	27	86	6	1
748084d9fec941ee95cc4848f747559a	df	768	16	127	10	7
748ebd6a67bc63defadb6587279281cd	df	875	25	181	12	4
761dfa8ebea5c2960ebda630764c18ac	df	586	21	121	10	3
769e6f10822359f6417955a5413eb79e	df	835	12	94	1	1
76b27c11aef5fb68a833563685b80546	df	888	40	151	3	6
76f4ee9cd5f2be8829445d4ef794c8b1	df	743	19	71	7	2
781b1ec4b3cb0b06b387e4bd71fa3daa	df	538	19	65	2	3
7945e1b0a1c0cb59c69544287488898b	df	487	33	97	10	3
79df8ea052801bd9039493b17e82171e	df	970	19	204	10	4
7a4b6fecfb6626cf8771fdab5e43f6bb	df	995	22	127	1	2
7ab107f652ed204786c289ef3ad4ba50	df	852	43	135	8	4
7abed11c52b9036b6f384dfc3431ff40	df	851	44	144	6	3
7b8f7db1f09535f4bb90bd050b18d91e	df	999	31	116	6	1
7bdd10d9a819c24aac9ebe5af3a81191	df	663	20	107	12	3
7c9be6fb7f50ffcd699ab7d97be8afd5	df	986	39	156	9	5
7ddae34c4553ef60a76c43144855ec6b	df	792	34	136	23	16
7e0d322226af514529eb56576eda8fc6	df	971	20	97	3	2
7ec85551ff14809d29e7e47df78ee277	df	960	32	74	10	2
7f2b7dcd895a7b15311df774da2153fd	df	957	18	118	0	1
7f2c47ca6e7c602d95b5cebbc0284dbb	df	836	32	124	3	1
7f93f3d5ae480947c7b3467b27714ed7	df	959	22	168	11	3
7f9464ce874d15931b734d36f7634784	df	940	28	138	2	3
7fb456c53002728ecb5967117901d386	df	576	10	25	0	2
7fcfbd86327f505c80140e6d93bf4728	df	916	16	78	6	6
7fdda4828466c135a59a2226a3c63aa4	df	872	34	144	15	4
