docid	thread_id	start_post_id	end_post_id
010aaf594ae6ef20eb28e3ee26038375	12911	p205	p208
018fb4e59ac5474167ffc5940d7e55e7	12918	p300	p308
01f69c4c2206e7c3fa3706ccd5b8b350	14334	p186	p194
026bd1c7eae9f14da9480a4b88ba2fb6	13263	p234	p240
02905b7ce3a6b8b0961c6c2310392ef9	14176	p7	p8
04134f2be20afbb868d7a8292f49e277	11690	p44	p46
052fe72e4bb7b33ca69dd0dfd01fc442	13184	p78	p81
0536891daea71ab51ee1123137b67146	13160	p48	p55
0648a08469a3be9eb972f0d213562805	12925	p1	p3
0659c87d9fd3d5efd258ee6de3ba1003	11608	p1	p4
073020eb350fc73f123bfac8ec485ecc	13153	p310	p313
07c9c8ca974b6e9333c38720b0b06896	14240	p31	p36
07ec2b7a71add9d1ae30379134daa6c2	13263	p43	p54
086e26ec92d1cc02f3900e9ac46d6962	12754	p53	p61
087f58983ef5e94e54024bc9f0f009ae	13152	p91	p94
08b0dfe15192c063055ed7db8d24c625	12883	p19	p20
08ebdc5f0ec8588af38ab1684318d99c	11799	p1	p2
09098ae4e956a51b038876197814735e	13636	p1	p11
0929d82f7059353f9593b9558983efba	13231	p138	p144
0a421343005f3241376fa01e1cb3c6fb	12976	p1	p2
0ba982819aaf9f5b94a7cebd48ac6018	12714	p72	p80
0c49bb860962aa0d5b8e3fc277592da0	11745	p335	p341
0cde024ee993679967f7ac397000ad52	12722	p106	p117
0cfdfe102b7a4cb34e1a181c1d36d23d	12856	p61	p66
0e0abbf0da91d9e34750441c08d5d262	13531	p68	p74
0e6c9afe37a18411d275ee225a0f0f9b	11745	p187	p192
0eb03fc279066b84ed49d44b2405469a	11954	p1	p3
0f03cc5a508d630c6c8c8c61396e31a9	14003	p1	p3
0f565d3822dca80336582ffac4adaf78	12735	p57	p59
0fab386f8b6527439481f526c92341c7	11610	p164	p168
0fbcb8f76124b9654076889ce04a045b	11774	p1	p8
0fe5904ced20c20537fe29c1db11cd28	13637	p1	p3
101d0fc4a78dc1b84953ebd399b2fad5	12991	p130	p135
11329f1cdb44019afc8f48b6fdc5376d	14166	p1	p5
11a29a0d63a79b0f5d19ccae1838b125	13468	p44	p52
11c906f2f798abb05f143b206edf77a5	13420	p47	p49
120fe19a9bc68fd85fc4963c166e9345	11745	p970	p971
130a86739522ab7c56232e798d04cbf9	13684	p115	p118
14294db341956a71811c9dd015b04ed7	11756	p1	p8
1473ea2ded50c05b29b4f55f1b83ada3	12517	p1	p3
1557734399e8da2b84a2dd9ddb4eba49	12773	p69	p74
15ba31cca04cc5300361f46319247c40	13151	p11	p14
1656bbad43fee4569b5c5f14110c1342	13897	p1	p3
178e7de35eccad0df800f0c7539cf614	12555	p1	p7
17f22c2b1e5642b41a9aeedb03261d1a	14062	p1	p3
17f98f0c6cda0227e732e6761f396d1f	13892	p1	p4
186ef6837e001cd9b97a132c86705545	13401	p1	p5
18a89cdd00dadc593a88c924111575f1	12697	p1	p3
18e8a277f2659f79291efa0e12e80cb3	13205	p1	p3
19569b08f07d751d6ac4a07633653c50	14192	p1	p5
19e22ef0233f8049576deda50b76ae02	11931	p500	p508
1ae45904ad12b1540dc390e162b61235	11691	p1	p7
1b0f90c029f75d326ea39c0371901ef4	13974	p1	p6
1b268b27094ba9c5feb11192dad940ab	13761	p1	p5
1bf9912633f942d6d1d4e87df33cee40	13546	p125	p127
1d16a571f14fb1032bc19e9314a46deb	13233	p190	p198
1e9dfabe5e068a4142e768c0c5c37b6b	11599	p1	p6
1f288dcbcb562b39031c6a9402ebf6d0	13124	p26	p34
1f60eb9697e240af089b134b69c2042d	11944	p502	p509
204f8f6bdb24c5198175bf1ed483247b	13820	p37	p41
21dbe23f56aaef87fd0980234895b321	11509	p100	p103
2251a78817e67a2adaf0722fd05c7ac0	11617	p82	p87
22696c601df1a7359e9b629c689700ad	13231	p355	p358
