docid	post_count	word_count	ere_status
00076903d70f261fbeb653e9e0f9d5a1	2	806	rejected
00175aff1eed6432971d1a3072811eea	3	962	in-queue
0069336e6a9bfd11f325e01c1d78ae08	3	618	rejected
00fd1779f10d4f939787095e935f7b8a	2	794	rejected
018fe7562faec0894184a76673cbfd5f	7	879	in-queue
021b07d6366793f039ae7a87f04a8859	2	216	rejected
02200d12830806ac7bc72bbd53ff02b9	9	836	in-queue
026a589c6d2c9e86c06f6df4c85124a7	4	920	rejected
026f43aabd5667e046d320f805953251	3	791	rejected
02905b7ce3a6b8b0961c6c2310392ef9	2	616	1p-done
029514bb6371e358e62440cb62010a33	2	566	rejected
02ab1a678f4316010430f4deebbb68a9	2	821	in-queue
02ac42cdb63edf34cd6a32333c08d278	8	979	rejected
02ee00640b6090adda4e09917dd8634d	4	879	rejected
037e1b8d1d0981f6d0cb13dc336a7165	3	934	in-queue
039fb61bde20d41f692e2cb415bf7472	2	656	in-queue
03d08fe2ae45597c95fb0324b7d57bb5	2	974	in-queue
043c418e53c0608dfb422d82f004eb1f	4	595	rejected
047b2eff05980364fed3565e88524f88	4	264	rejected
04a4f4164d8773ab28a247c421b8da20	3	909	in-queue
04b93f5f18c0921989dfe35c9efe9726	6	967	1p-in-progress
04cb581b04766f80e90e2fb4ec24c6a3	3	587	in-queue
04ee52f0413386ebd2a8753e23d6139c	4	962	in-queue
052fe72e4bb7b33ca69dd0dfd01fc442	4	900	2p-done
0536891daea71ab51ee1123137b67146	8	823	2p-done
056146de825ee25f7c0d7a0720a992fe	2	974	in-queue
05e19e2fbbd5042437cde75f70e5048a	2	946	rejected
060c89690809aac75629dba65f8be4bd	3	928	rejected
061ed095727c6d22ac672f6d9905cba0	6	960	rejected
0648a08469a3be9eb972f0d213562805	3	717	2p-done
0659c87d9fd3d5efd258ee6de3ba1003	4	270	2p-done
068a8cb88453cd3d946cc3db2ad67732	4	631	rejected
0697032831853a9018d1fde1501eb10b	4	370	rejected
06d86b1d22db83db10f781f00d64e0d8	3	555	rejected
06dc50f3778d14eb00c845ff566766a6	8	994	rejected
06fdfabc637028aa136227fd8318a26b	13	817	in-queue
0728e53a1d2e11134fa398ac3ce22220	8	946	in-queue
074913a17b0c9836fb91f46b83a73bed	3	952	in-queue
0771a1f11dd48339259d097ffe3f88c8	3	719	rejected
07f7467dfe745befbd83e8d83a914f83	9	892	in-queue
083c489590b3f75db678dac716277fa3	3	938	rejected
086e26ec92d1cc02f3900e9ac46d6962	9	777	2p-done
08b0dfe15192c063055ed7db8d24c625	2	577	in-queue
08beab63aeec4378d3ce792963710c64	4	499	rejected
08ebdc5f0ec8588af38ab1684318d99c	2	816	2p-done
08fb1ad05a3aa2ed8b93fd10a27dadb3	10	618	rejected
09098ae4e956a51b038876197814735e	11	465	2p-done
09118363a3b2473fb82395aa3658f3f7	10	955	in-queue
0929d82f7059353f9593b9558983efba	7	785	1p-done
09523b03ba0f4644fee10d3e3b72d520	8	754	rejected
