Transfer-Money	Transaction_Transfer-Money
Transfer-Ownership	Transaction_Transfer-Ownership
Start-Org	Business_Start-Org
End-Org	Business_End-Org
Declare-Bankruptcy	Business_Declare-Bankruptcy
Merge-Org	Business_Merge-Org
Start-Position	Personnel_Start-Position
End-Position	Personnel_End-Position
Nominate	Personnel_Nominate
Elect	Personnel_Elect
Meet	Contact_Meet
Communicate	Contact_Communicate
Arrest-Jail	Justice_Arrest-Jail
Sue	Justice_Sue
Sentence	Justice_Sentence
Convict	Justice_Convict
Charge-Indict	Justice_Charge-Indict
Execute	Justice_Execute
Appeal	Justice_Appeal
Release-Parole	Justice_Release-Parole
Trial-Hearing	Justice_Trial-Hearing
Fine	Justice_Fine
Acquit	Justice_Acquit
Extradite	Justice_Extradite
Pardon	Justice_Pardon
Injure	Life_Injure
Die	Life_Die
Marry	Life_Marry
Divorce	Life_Divorce
Be-Born	Life_Be-Born
Attack	Conflict_Attack
Demonstrate	Conflict_Demonstrate
Transport-Person	Movement_Transport-Person
